FileNameKeyword,PackageName,Subpackage
IKForecast_52wk_high,52 Week High Stocks,None
IKForecast_52wk_low,52 Week Low Stocks,None
IKForecast_top_10_52wk_low,52 Week Low Stocks,None
IKForecast_Aggressive,Aggressive Stocks Forecast,None
IKForecast_top_10_aggressive,Aggressive Stocks Forecast,None
IKForecast_AAPL,Apple Stock Forecasts,None
IKForecast_AAPL_SP500,Apple Stock Forecasts,None
IKForecast_Australia,Australian Stocks,None
IKForecast_top_10_Australia,Australian Stocks,None
IKForecast_Automotive,Automotive Stock Forecast,None
IKForecast_Banks,Bank Stock Forecast,None
IKForecast_BasicIndustry,Basic Industry Forecast,None
IKForecast_Industrials,Basic Industry Forecast,None
IKForecast_BIOTECH,Biotech Stocks Forecast,None
IKForecast_BIOTECH_Top10,Biotech Stocks Forecast,None
IKForecast_Top_10_BIOTECH,Biotech Stocks Forecast,None
IKForecast_BITCOIN,Bitcoin,None
IKForecast_Bovespa,Bovespa,None
IKForecast_Bovespa1,Bovespa,None
IKForecast_top_10_Bovespa1,Bovespa,None
IKForecast_Brazil,Brazil Stock Forecast,None
IKForecast_CANADA,Canadian Stock Forecast,None
IKForecast_Top_10_CANADA,Canadian Stock Forecast,None
IKForecast_Top_20_CANADA,Canadian Stock Forecast,None
IKForecast_Chemicals,Chemicals Stocks,None
IKForecast_ChinaETFs,Chinese ETFs Forecast,None
IKForecast_China,Chinese Stock Forecast,None
IKForecast_ComputerIndustry,Computer Industry,None
IKForecast_top_10_conservative,Conservative Stock Forecast,None
IKForecast_Consumer,Consumer Stocks,None
IKForecast_Currencies,Currency Forecast,None
IKForecast_top_10_dividend,Dividend Stocks Forecast,None
IKForecast_Energy,Energy Stocks Forecast,None
IKForecast_Energy_Top10,Energy Stocks Forecast,None
IKForecast_EquityETFs,ETFs Forecast,None
IKForecast_top10_ETFs,ETFs Forecast,None
IKForecast_top_10_ETFs,ETFs Forecast,None
IKForecast_top_10_EUROPE_ETFs,European ETFs Forecast,None
IKForecast_EUROPE_ETFs,European ETFs Forecast,None
IKForecast_EUROPE,European Stock Forecast,None
IKForecast_top_10_EUROPE,European Stock Forecast,None
IKForecast_French,French Stock Forecast,None
IKForecast_HighPEG,Fundamental,High PEG Stocks
IKForecast_Top_10_highPEG,Fundamental,High PEG Stocks
IKForecast_HighPSales,Fundamental,High price-to-sales ratio Stocks
IKForecast_LowPEG,Fundamental,Low PEG Stocks
IKForecast_LowPE_,Fundamental,Low P/E Stocks
IKForecast_LowPE_Top10,Fundamental,Low P/E Stocks
IKForecast_LowPEstocks,Fundamental,Low P/E Stocks
IKForecast_LowPrice_Book,Fundamental,Low price-to-book ratio Stocks
IKForecast_LowPSales,Fundamental,Low price-to-sales ratio Stocks
IKForecast_Top_10_LowPE_,Fundamental,Low P/E Stocks
IKForecast_Top_10_LowPEG,Fundamental,Low PEG Stocks
IKForecast_Top_10_LowPrice_Book,Fundamental,Low price-to-book ratio Stocks
IKForecast_Top_10_LowPSales,Fundamental,Low price-to-sales ratio Stocks
